PRN,t_day_s,t_sow_s,X_m,Y_m,Z_m
G01,0,518400.0,20076241.513,15017530.987,-8876265.516
G01,60,518460.0,20007279.013,15006043.229,-9049315.099
G01,120,518520.0,19937071.81,14994307.033,-9221674.298
G01,180,518580.0,19865621.771,14982333.937,-9393329.955
G01,240,518640.0,19792930.935,14970135.476,-9564268.964
G01,300,518700.0,19719001.512,14957723.179,-9734478.273
G01,360,518760.0,19643835.884,14945108.568,-9903944.885
G01,420,518820.0,19567436.605,14932303.152,-10072655.86
G01,480,518880.0,19489806.399,14919318.43,-10240598.315
G01,540,518940.0,19410948.16,14906165.885,-10407759.424
G01,600,519000.0,19330864.953,14892856.984,-10574126.42
G01,660,519060.0,19249560.013,14879403.174,-10739686.598
G01,720,519120.0,19167036.746,14865815.882,-10904427.312
G01,780,519180.0,19083298.724,14852106.511,-11068335.977
G01,840,519240.0,18998349.692,14838286.441,-11231400.074
G01,900,519300.0,18912193.56,14824367.02,-11393607.146
G01,960,519360.0,18824834.408,14810359.571,-11554944.8
G01,1020,519420.0,18736276.482,14796275.383,-11715400.709
G01,1080,519480.0,18646524.197,14782125.712,-11874962.614
G01,1140,519540.0,18555582.133,14767921.777,-12033618.322
G01,1200,519600.0,18463455.036,14753674.76,-12191355.71
G01,1260,519660.0,18370147.818,14739395.804,-12348162.722
G01,1320,519720.0,18275665.554,14725096.007,-12504027.376
G01,1380,519780.0,18180013.485,14710786.425,-12658937.756
G01,1440,519840.0,18083197.014,14696478.067,-12812882.024
G01,1500,519900.0,17985221.708,14682181.894,-12965848.411
G01,1560,519960.0,17886093.294,14667908.817,-13117825.222
G01,1620,520020.0,17785817.66,14653669.693,-13268800.839
G01,1680,520080.0,17684400.857,14639475.326,-13418763.718
G01,1740,520140.0,17581849.094,14625336.464,-13567702.393
G01,1800,520200.0,17478168.737,14611263.795,-13715605.474
G01,1860,520260.0,17373366.311,14597267.947,-13862461.649
G01,1920,520320.0,17267448.499,14583359.486,-14008259.687
G01,1980,520380.0,17160422.139,14569548.915,-14152988.435
G01,2040,520440.0,17052294.224,14555846.667,-14296636.823
G01,2100,520500.0,16943071.9,14542263.109,-14439193.862
G01,2160,520560.0,16832762.468,14528808.539,-14580648.643
G01,2220,520620.0,16721373.379,14515493.18,-14720990.344
G01,2280,520680.0,16608912.238,14502327.184,-14860208.225
G01,2340,520740.0,16495386.795,14489320.624,-14998291.632
G01,2400,520800.0,16380804.954,14476483.497,-15135229.997
G01,2460,520860.0,16265174.762,14463825.719,-15271012.837
G01,2520,520920.0,16148504.417,14451357.127,-15405629.759
G01,2580,520980.0,16030802.258,14439087.472,-15539070.456
G01,2640,521040.0,15912076.772,14427026.42,-15671324.711
G01,2700,521100.0,15792336.585,14415183.552,-15802382.396
G01,2760,521160.0,15671590.468,14403568.357,-15932233.475
G01,2820,521220.0,15549847.33,14392190.237,-16060868.003
G01,2880,521280.0,15427116.221,14381058.499,-16188276.126
G01,2940,521340.0,15303406.327,14370182.357,-16314448.084
G01,3000,521400.0,15178726.971,14359570.929,-16439374.209
G01,3060,521460.0,15053087.612,14349233.235,-16563044.93
G01,3120,521520.0,14926497.842,14339178.196,-16685450.769
G01,3180,521580.0,14798967.383,14329414.633,-16806582.343
G01,3240,521640.0,14670506.092,14319951.263,-16926430.369
G01,3300,521700.0,14541123.953,14310796.7,-17044985.658
G01,3360,521760.0,14410831.077,14301959.451,-17162239.12
G01,3420,521820.0,14279637.703,14293447.917,-17278181.765
G01,3480,521880.0,14147554.194,14285270.389,-17392804.699
G01,3540,521940.0,14014591.038,14277435.048,-17506099.131
G01,3600,522000.0,13880758.842,14269949.962,-17618056.37
G01,3660,522060.0,13746068.252,14262823.114,-17728667.87
G01,3720,522120.0,13610530.274,14256062.291,-17837925.059
G01,3780,522180.0,13474155.795,14249675.242,-17945819.591
G01,3840,522240.0,13336955.896,14243669.572,-18052343.185
G01,3900,522300.0,13198941.77,14238052.767,-18157487.663
G01,3960,522360.0,13060124.722,14232832.192,-18261244.951
G01,4020,522420.0,12920516.167,14228015.089,-18363607.081
G01,4080,522480.0,12780127.63,14223608.578,-18464566.191
G01,4140,522540.0,12638970.74,14219619.652,-18564114.525
G01,4200,522600.0,12497057.235,14216055.179,-18662244.434
G01,4260,522660.0,12354398.952,14212921.9,-18758948.377
G01,4320,522720.0,12211007.833,14210226.423,-18854218.92
G01,4380,522780.0,12066895.917,14207975.232,-18948048.741
G01,4440,522840.0,11922075.345,14206174.675,-19040430.623
G01,4500,522900.0,11776558.348,14204830.969,-19131357.462
G01,4560,522960.0,11630357.257,14203950.196,-19220822.264
G01,4620,523020.0,11483484.492,14203538.305,-19308818.144
G01,4680,523080.0,11335952.565,14203601.108,-19395338.332
G01,4740,523140.0,11187774.074,14204144.278,-19480376.167
G01,4800,523200.0,11038961.708,14205173.353,-19563925.102
G01,4860,523260.0,10889528.237,14206693.728,-19645978.703
G01,4920,523320.0,10739486.514,14208710.661,-19726530.65
G01,4980,523380.0,10588849.476,14211229.265,-19805574.735
G01,5040,523440.0,10437630.136,14214254.514,-19883104.867
G01,5100,523500.0,10285841.583,14217791.236,-19959115.07
G01,5160,523560.0,10133496.985,14221844.115,-20033599.482
G01,5220,523620.0,9980609.577,14226417.691,-20106552.358
G01,5280,523680.0,9827192.671,14231516.356,-20177968.069
G01,5340,523740.0,9673259.644,14237144.358,-20247841.104
G01,5400,523800.0,9518823.94,14243305.792,-20316166.066
G01,5460,523860.0,9363899.068,14250004.61,-20382937.681
G01,5520,523920.0,9208498.601,14257244.611,-20448150.789
G01,5580,523980.0,9052636.171,14265029.445,-20511800.35
G01,5640,524040.0,8896325.469,14273362.609,-20573881.442
G01,5700,524100.0,8739580.242,14282247.451,-20634389.265
G01,5760,524160.0,8582414.292,14291687.166,-20693319.136
G01,5820,524220.0,8424841.472,14301684.795,-20750666.492
G01,5880,524280.0,8266875.686,14312243.226,-20806426.893
G01,5940,524340.0,8108530.886,14323365.193,-20860596.019
G01,6000,524400.0,7949821.068,14335053.274,-20913169.668
G01,6060,524460.0,7790760.275,14347309.894,-20964143.765
G01,6120,524520.0,7631362.588,14360137.319,-21013514.351
G01,6180,524580.0,7471642.128,14373537.661,-21061277.595
G01,6240,524640.0,7311613.054,14387512.875,-21107429.783
G01,6300,524700.0,7151289.56,14402064.757,-21151967.327
G01,6360,524760.0,6990685.873,14417194.948,-21194886.762
G01,6420,524820.0,6829816.248,14432904.93,-21236184.745
G01,6480,524880.0,6668694.972,14449196.024,-21275858.058
G01,6540,524940.0,6507336.355,14466069.397,-21313903.605
G01,6600,525000.0,6345754.733,14483526.054,-21350318.417
G01,6660,525060.0,6183964.463,14501566.841,-21385099.645
G01,6720,525120.0,6021979.921,14520192.445,-21418244.57
G01,6780,525180.0,5859815.502,14539403.394,-21449750.593
G01,6840,525240.0,5697485.614,14559200.054,-21479615.243
G01,6900,525300.0,5535004.679,14579582.635,-21507836.174
G01,6960,525360.0,5372387.13,14600551.183,-21534411.163
G01,7020,525420.0,5209647.408,14622105.585,-21559338.116
