PRN,count,mean_err_m,rmse_m,max_err_m
G01,288,2.71,2.804,4.193
G02,288,2.108,2.244,4.394
G03,288,1.63,1.643,2.082
G04,288,2.024,2.032,2.367
G05,288,1.024,1.059,1.594
G06,288,1.517,1.529,2.124
G07,288,1.139,1.172,2.042
G08,288,1.748,1.761,2.248
G09,288,1.874,1.895,2.477
G10,288,1.7,1.717,2.26
G11,288,2.663,2.697,3.529
G12,288,0.879,0.901,1.408
G13,288,1.398,1.406,1.751
G14,288,2.018,2.026,2.414
G15,288,0.806,0.837,1.517
G16,288,1.6,1.606,2.124
G17,288,0.97,1.012,1.904
G18,288,2.147,2.161,2.629
G19,288,0.988,1.013,1.892
G21,288,1.956,1.962,2.297
G22,288,1.133,1.146,1.589
G23,288,2.668,2.678,3.278
G24,288,1.689,1.72,2.571
G25,288,1.565,1.574,2.066
G26,288,1.702,1.707,2.093
G27,288,2.19,2.226,3.273
G28,288,2.155,2.16,2.458
G29,288,0.845,0.869,1.489
G30,288,1.564,1.58,2.031
G31,288,1.298,1.362,2.143
G32,288,2.132,2.164,2.743
